,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
1,4.249,3.12,2.517,0.132,0.326,,,1.498,1.148,,,,13.19,10.42,3.871,3.385,0.9565,,,1.258,,,C- AGB
2,5.752,4.113,2.893,-0.862,-0.71,,,0.13,-0.022,,,,31.18,36.57,8.434,9.936,3.246,1.388,1.908,14.67,2.138,1.043,C- AGB
3,7.24,5.757,4.636,4.203,2.824,,,2.05,1.657,,,,8.414,7.454,2.552,2.402,0.536,,,1.649,,,C- AGB
4,3.112,2.187,1.85,-0.403,0.154,,,0.694,0.023,,,,19.709999,16.27,9.417,7.748,1.302,,,0.874,,,C- AGB
5,3.187,1.891,1.193,-1.535,-0.411,,,0.01,-0.332,,,,67.5,52.76,17.66,15.36,4.033,2.726,1.52,2.03,1.533,0.957,C- AGB
6,16.556,15.915,14.734,7.352,3.968,,,-0.043,-1.632,,,,30.91,48.47,39.639999,51.89,12.54,8.953,6.098,23.16,2.171,,C- AGB
7,11.462,8.488,5.927,1.321,-1.419,,,-1.184,-2.385,,,,256.100006,306.2,123.599998,150,29.62,20.08,13.53,6.903,3.131,1.992,C- AGB
8,3.662,2.369,1.682,-0.923,-0.589,,,0.459,0.263,,,,31.99,25.67,8.159,7.415,3.826,1.77,1.405,4.404,1.286,1.591,C- AGB
9,7.281,5.652,4.402,1.936,0.568,,,0.975,0.528,,,,21.389999,16.3,6.618,6.011,1.489,0.5682,0.865,6.196,,,C- AGB
10,5.595,4.188,3.589,1.989,1.653,,,1.954,1.68,,,,7.525,7.94,2.304,2.223,0.7279,,,2.082,,,C- AGB
11,7.876,6.058,4.764,3.568,1.484,,,1.68,1.218,,,,12.8,14.21,3.408,4.545,1.313,0.8444,0.5726,11.17,0.1152,1.213,C- AGB
12,4.941,3.328,2.633,0.915,1.133,,,2.096,1.691,,,,8.053,7.246,2.225,2.358,1.721,0.4502,1.225,3.99,0.2231,2.45,C- AGB
13,4.793,3.365,2.722,1.422,0.22,,,1.108,0.587,,,,15.42,20.36,7.807,8.189,0.7954,,,14.56,,,C- AGB
14,5.585,3.911,2.466,-0.873,-0.192,,,-0.601,-1.102,,,,116.400002,66.88,30.65,23.83,5.017,4.517,2.62,3.339,0.8736,1.426,C- AGB
15,4.738,2.839,1.549,-2.022,-2.259,,,-1.245,-1.688,,,,192.300003,139.8,58.580002,40.31,8.853,5.765,4.525,13.66,1.132,,C- AGB
16,2.38,1.098,0.865,-1.448,-0.837,,,0.223,-0.139,,,,50.689999,33.42,13.16,11.2,3.288,2.164,1.707,1.721,1.897,2.093,C- AGB
17,15.224,11.85,9.047,4.578,1.487,,,0.137,-0.62,,,,22.73,30.06,15.15,18.08,3.763,1.914,1.838,3.453,0.6845,,C- AGB
18,14.581,13.885,13.478,7.445,3.264,,,-1.449,-3.137,,,,75.480003,139.9,196.699997,206.1,64.67,52.990002,28.889999,15.85,6.002,4.242,C- AGB
19,5.131,3.775,2.795,1.169,0.759,,,1.427,1.073,,,,14.69,12.58,4.273,3.837,1.318,1.066,1.002,12.15,4.135,0.5606,C- AGB
20,8.909,6.856,5.259,2.285,0.579,,,1.086,0.599,,,,15.32,13.66,6.135,4.77,1.193,0.6042,0.7763,23.23,,1.777,C- AGB
21,1.973,0.695,-0.117,-1.107,1.36,,,-1.102,-2.176,,,,193.5,162.1,65.279999,82.07,54.8,43.790001,28.33,23.18,10.51,5.592,C- AGB
22,8.827,6.63,4.925,3.059,0.232,,,0.261,-0.197,,,,33.560001,35.68,11.79,11.87,1.598,,,2.193,,,C- AGB
23,12.176,9.326,7.179,4.439,2.824,,,1.703,0.896,,,,9.59,11.86,4.774,5.971,1.244,0.7222,0.3671,2.842,0.2204,0.9354,C- AGB
24,7.058,5.774,5.137,4.781,4.631,,,4.187,4.006,,,,1.138,0.9292,0.3359,0.2068,0.4,,,7.667,,,C- AGB
25,6.686,5.14,4.058,2.325,1.437,,,1.772,1.517,,,,9.432,10.1,2.782,2.679,0.6595,,,2.616,,,C- AGB
26,7.531,5.486,4.276,-0.397,-0.954,,,-0.362,-0.985,,,,53.5,49.95,21.59,18.87,3.99,3.97,2.404,3.708,0.6751,0.484,C- AGB
27,4.391,3.155,2.291,0.237,-0.174,,,1.017,0.713,,,,22.469999,16.16,5.656,5.048,1.389,0.8265,0.5983,7.277,0.626,,C- AGB
28,6.629,4.953,4.09,2.192,0.965,,,1.313,0.858,,,,17.549999,14.52,5.794,4.957,1.106,0.7493,0.6199,8.236,,1.048,C- AGB
29,5.103,3.59,2.637,0.626,-0.196,,,0.861,0.671,,,,28.559999,22.25,7.732,6.388,1.246,,,6.008,,,C- AGB
30,12.954,9.624,6.765,2.164,-0.66,,,-1.265,-2.863,,,,161.300003,120.5,111.599998,112.2,29.61,20.049999,14.09,6.859,3.164,2.05,C- AGB
31,6.613,5.064,3.71,1.215,-0.025,,,0.527,0.306,,,,22.07,28.53,7.809,8.817,1.575,1.5,0.6399,5.81,,,C- AGB
32,4.389,3.186,2.4,0.689,0.668,,,1.649,1.3,,,,11.7,10.05,3.256,2.905,0.9521,,,2.414,,,C- AGB
33,4.23,2.537,1.349,-1.4,0.968,,,-1.172,-1.857,,,,220,254,69.330002,75.26,15.99,10.11,5.456,5.062,2.786,1.168,C- AGB
34,17.535,15.894,11.44,5.455,1.554,,,-1.071,-2.751,,,,73.699997,173,93.970001,159.5,42.18,24.709999,17.190001,9.86,4.691,1.81,C- AGB
35,17.596,15.341,11.533,6.65,3.087,,,-0.043,-1.336,,,,37.32,33.85,43.169998,35.85,10.9,9.208,5.721,2.443,1.043,0.1359,C- AGB
36,8.151,6.482,5.248,4.627,3.497,,,2.525,1.977,,,,5.3,5.949,1.907,2.29,3.08,,,38.19,,,C- AGB
37,8.62,6.183,5.117,4.697,4.165,,,4.306,4.021,,,,1.131,0.7554,0.3217,0.25,0.4,,,6.614,,,C- AGB
38,10.298,7.792,5.892,3.583,1.074,,,1.105,0.651,,,,20.82,14.61,6.569,5.738,1.125,1.278,0.8718,3.142,1.565,,C- AGB
39,5.256,3.967,3.246,3.225,2.964,,,2.599,2.332,,,,4.679,3.575,1.313,1.049,0.4342,,,1.502,,,C- AGB
40,8.33,6.728,5.825,5.436,5.221,,,4.711,3.975,,,,0.677,0.5756,0.2242,0.3273,0.4727,,,2.98,,,C- AGB
41,2.869,1.706,1.208,-1.975,-1.513,,,0.244,0.167,,,,49.520001,37.97,11.33,8.634,2.709,0.8517,1.199,12.84,4.731,,C- AGB
42,10.283,8.144,6.372,4.496,3.051,,,1.425,0.545,,,,12.43,14.57,6.373,7.816,2.952,1.978,1.963,22.75,1.362,,C- AGB
43,1.653,0.604,0.206,-1.456,0.321,,,-0.634,-1.416,,,,103.5,93.99,37.220001,36.46,7.252,4.595,2.841,2.676,2.254,,C- AGB
44,10.389,8.171,6.446,4.504,3.159,,,2.229,1.544,,,,4.672,5.914,2.29,2.535,0.506,,,26.65,,,C- AGB
45,9.643,7.442,5.812,4.479,3.03,,,1.733,1.299,,,,12.29,8.22,4.142,2.806,2.697,,,24.28,,,C- AGB
46,9.045,6.809,4.953,2.242,-0.195,,,0.039,-0.88,,,,38.869999,46.07,17.690001,26.24,5.017,1.595,1.336,1.715,0.8004,,C- AGB
47,6.817,5.435,4.778,4.368,4.062,,,3.655,3.115,,,,1.703,1.533,0.6532,0.5665,0.4,,,9.858,,,C- AGB
48,10.601,7.445,4.975,-0.719,-1.916,,,-1.693,-3.003,,,,161.199997,146,132.100006,91.16,23.32,18.129999,10.87,6.29,3.52,4.73,C- AGB
49,8.54,6.334,4.778,3.497,0.835,,,0.69,-0.055,,,,22.93,16.88,11.55,9.599,3.86,3.565,2.872,32.39,1.575,1.862,C- AGB
50,4.669,2.596,1.15,-1.877,-1.703,,,-2.869,-3.024,,,,596.200012,535.2,240.199997,198.7,39.95,24.41,18.950001,11.94,6.085,,C- AGB
51,10.371,7.436,5.24,1.843,-0.434,,,-0.436,-1.439,,,,81.410004,70.43,35.770001,37.4,7.925,4.64,4.093,7.491,0.7507,1.171,C- AGB
52,5.154,4.291,3.679,2.278,2.641,,,2.589,2.063,,,,5.237,4.497,1.562,1.599,0.7101,,,1.471,,,C- AGB
53,10.112,7.955,6.044,4.006,1.759,,,1.257,0.727,,,,17.77,13.9,5.765,5.412,1.134,0.8653,0.6148,13.8,0.4126,0.3738,C- AGB
54,6.087,4.677,3.734,2.007,0.702,,,1.466,1.272,,,,13.86,11.95,3.742,3.019,0.6312,0.01805,0.3757,1.072,,,C- AGB
55,5.61,4.221,3.646,2.302,2.557,,,2.302,1.905,,,,6.164,5.791,1.97,1.791,0.6072,,,18.06,,,C- AGB
56,7.185,5.681,4.537,3.677,2.775,,,2.45,2.05,,,,5.157,7.87,1.779,1.986,0.4114,,,1.04,,,C- AGB
57,15.376,11.828,8.784,4.773,2.659,,,0.059,-0.581,,,,29.469999,46.2,20.059999,27.48,5.607,3.423,2.194,12.34,1.551,1.097,C- AGB
58,15.903,12.778,9.528,5.466,2.996,,,0.191,-0.801,,,,14.979999,15.12,15.99,14.72,3.782,,,23.13,,,C- AGB
59,11.644,9.15,7.283,4.753,3.172,,,1.977,1.428,,,,4.563,6.129,1.879,2.581,0.5618,,,4.301,,,C- AGB
60,18.396,17.688,15.279,13.997,9.773,,,4.806,1.734,,,,24.940001,30.87,40.700001,43.44,15.08,12.46,8.956,6.396,3.235,,C- AGB
61,2.314,1.063,0.509,-2.132,-2.05,,,-0.677,-1.319,,,,133,120.8,39.330002,40.92,16.86,10.38,8.137,7.312,2.896,,C- AGB
62,2.707,1.463,0.84,-2.033,-1.672,,,-0.333,-0.527,,,,67.160004,54.05,19.1,17.01,6.236,3.402,3.477,7.16,,,C- AGB
63,12.822,9.769,7.151,3.786,0.243,,,-0.167,-1.26,,,,47.040001,59.41,26.969999,36.58,6.273,4.043,3.1,2.793,1.252,1.517,C- AGB
64,3.751,2.576,1.849,-0.355,-0.168,,,1.008,0.734,,,,19.17,17.25,5.383,5.177,1.285,,,5.592,,,C- AGB
65,14.034,10.678,7.734,3.499,-0.455,,,-1,-2.377,,,,99.07,130.3,69.900002,93.87,21.86,13.34,10.29,6.03,3.366,0.9232,C- AGB
66,4.999,3.679,2.869,1.39,0.717,,,1.485,1.185,,,,11.38,11.33,3.373,3.362,1.03,0.3714,0.7709,12.53,3.641,,C- AGB
67,6.492,4.505,2.997,-1.581,-2.111,,,-1.129,-1.611,,,,142.699997,140.8,45.650002,38.89,7.791,4.779,3.014,2.079,0.5688,,C- AGB
68,13.011,9.689,7.161,4.115,0.602,,,-0.276,-1.112,,,,45.720001,36.3,28.76,29.66,8.1,4.969,3.684,3.528,0.8639,,C- AGB
69,6.213,4.865,4.138,11.747,11.69,,,11.019,8.984,,,,3.781,3.563,1.247,0.9853,0.5971,,,11.2,,,C- AGB
70,9.451,7.432,5.927,4.152,2.879,,,1.74,1.26,,,,7.196,4.709,2.516,2.243,0.9694,,,2.138,,,C- AGB
71,7.208,5.593,4.447,3.294,2.575,,,2.134,1.845,,,,6.696,6.452,2.027,1.648,0.4,,,1.938,,,C- AGB
72,9.262,7.454,6.33,4.411,3.763,,,3.286,3.212,,,,2.563,2.591,0.6342,0.5655,0.4,,,2.171,,,C- AGB
73,6.749,5.378,4.359,2.575,2.716,,,2.036,1.153,,,,7.748,7.484,3.324,4.74,2.842,2.416,1.545,1.955,1.766,,C- AGB
74,8.906,7.529,6.614,5.973,5.249,,,4.787,4.48,,,,0.6231,0.5804,,0.25,0.4,,,2.199,,,C- AGB
75,10.132,7.999,6.409,4.856,3.532,,,2.485,2.009,,,,4.408,5.085,1.901,1.763,0.5197,,,9.979,,,C- AGB
76,6.377,4.696,3.739,1.507,0.023,,,1.147,1.04,,,,18.780001,16.05,4.859,4.094,0.6815,,,2.571,,,C- AGB
77,4.596,3.033,2.132,-1.163,-0.966,,,0.273,0.198,,,,38.869999,21.69,9.941,7.32,2.369,1.923,1.727,12.87,2.024,1.734,C- AGB
78,7.673,5.524,4.278,0.071,-0.707,,,-0.065,-0.378,,,,36.330002,53.59,16.76,16.57,3.687,2.104,1.861,2.017,2.484,1.087,C- AGB
79,7.476,5.714,4.573,3.512,2.628,,,1.976,1.77,,,,8.011,8.755,2.266,2.24,0.7995,,,10.78,,,C- AGB
