,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,,,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,,J (1.22u),H (1.63u),K (2.19u),3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,8.28u,12.13u,14.65,21.34,,,class
1,2.77,1.81,1.135,-1.848,-0.914,,,-1.207,-2.106,,,,,,,,,124,97.6,58.509998,46.92,7.444,5.359,3.661,2.3,2.489,2.698,null,null,null,null,,,O- AGB
2,3.57,2.592,2.084,-0.231,0.039,,,0.613,0.158,,,,,,,,,21.389999,17.74,8.924,6.85,1.039,,,1.011,,,null,null,null,null,,,O- AGB
3,3.041,1.829,1.115,1.203,0.19,,,-1.692,-2.992,,,,,,,,,273,475.5,260.299988,324,57.96,42.889999,22.82,20.91,8.203,2.268,null,null,null,null,,,O- AGB
4,4.254,3.199,2.652,0.068,-0.019,,,0.164,-0.614,,,,,,,,,24.51,39.45,,20.47,2.824,0.9347,0.831,1.001,,0.9767,null,null,null,null,,,O- AGB
5,4.274,3.326,2.937,2.702,1.87,,,1.95,1.397,,,,,,,,,8.937,9.08,3.899,3.733,0.556,,,1,,,8.3629,6.9509,5.5155,2.3803,,,O- AGB
6,4.822,3.747,3.043,1.518,0.846,,,1.263,0.735,,,,,,,,,9.093,15.18,4.593,6.382,1.045,,,1.447,,,null,null,null,null,,,O- AGB
7,6.793,5.23,4.159,3.81,1.531,,,0.128,-1.22,,,,,,,,,32.549999,55.97,27.219999,39.61,5.483,3.573,2.332,6.551,1.378,1.95,null,null,null,null,,,O- AGB
8,1.486,0.703,0.289,-1.652,1.405,,,-0.808,-1.565,,,,,,,,,109.099998,103.5,48.740002,38.03,6.931,4.709,2.954,2.121,0.7084,,null,null,null,null,,,O- AGB
9,6.081,4.907,4.241,4.18,3.4,,,2.471,1.778,,,,,,,,,2.947,2.534,1.526,1.307,0.689,0.6761,0.6585,20.94,0.7865,1.467,2.7308,2.4377,2.0758,1.5785,,,O- AGB
