,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
1,4.589,3.337,2.792,1.465,-0.336,,,-0.096,-0.914,,,,,33.779999,48.87,14.15,24.1,4.063,1.895,1.431,1.323,1.631,0.935,S-AGB
2,4.864,3.596,2.968,2.191,1.342,,,1.432,0.762,,,,,12.75,15.75,5.212,6.253,1.358,1.116,0.6198,1.032,0.6379,,S-AGB
3,6.885,6.023,5.568,5.352,4.962,,,4.36,4.049,,,,,0.8465,0.7503,0.3078,0.25,0.4,,,1.178,,,S-AGB
4,0.496,-0.482,-0.808,1.654,1.101,,,-1.297,-2.19,,,,,198.800003,197.8,88.110001,55.75,14.41,8.294,6.005,4.765,3.027,0.9894,S-AGB
5,2.024,0.765,0.122,2.273,1.561,,,-1.558,-2.783,,,,,,327,195,167.7,24.16,23.84,15.62,10.37,5.546,3.591,S-AGB
6,4.329,3.392,2.878,0.951,1.179,,,1.903,1.557,,,,,10.22,8.384,2.666,2.488,0.5325,,,1.097,,,S-AGB
7,5.581,4.289,3.622,2.564,3.263,,,3.017,2.655,,,,,3.13,2.312,0.9055,0.7658,0.4192,,,16.65,,,S-AGB
8,5.815,4.799,4.244,4.038,4.037,,,3.873,3.388,,,,,1.502,1.086,0.4644,0.4073,0.4,,,12.02,,,S-AGB
9,4.881,3.844,3.245,1.952,1.785,,,2.238,1.945,,,,,6.188,4.439,1.845,1.482,0.3353,,,1,,,S-AGB
10,2.379,1.408,1.013,-1.142,-0.038,,,0.735,0.274,,,,,24.08,21.14,8.123,7.773,2.404,1.709,1.096,5.136,1.724,0.4724,S-AGB
11,3.625,1.965,1.091,-1.851,-2.018,,,-1.666,-3.035,,,,,276.700012,341.9,203.600006,195.2,26.81,19.41,14.18,11.37,3.899,3.907,S-AGB
12,4.823,3.4,2.716,1.176,1.459,,,2.337,1.77,,,,,6.58,5.499,1.983,1.899,0.4807,,,2.884,,,S-AGB
13,6.269,5.389,4.975,5.037,4.604,,,4.212,3.93,,,,,1.001,0.7703,0.3134,0.538,0.4,,,1,,,S-AGB
14,5.732,4.798,4.386,3.96,3.78,,,3.455,3.082,,,,,2.141,1.683,0.6261,0.5449,0.4,,,8.422,,,S-AGB
15,7.097,6.258,5.728,5.192,4.844,,,4.2,3.555,,,,,1.027,0.9186,0.443,0.3579,0.4,,,1.427,,,S-AGB
16,1.591,0.505,0.13,-1.831,-1.18,,,-0.776,-1.672,,,,,156.5,167.4,66.669998,72.14,13.45,8.051,5.625,5.606,2.589,1.55,S-AGB
17,8.25,6.986,6.17,4.41,3.797,,,1.651,0.928,,,,,4.16,3.336,2.819,2.217,0.4,,,1.202,,,S-AGB
18,3.498,2.433,1.917,-0.491,0.395,,,1.641,1.357,,,,,12.71,10.27,3.494,2.807,0.6432,,,0.9638,,,S-AGB
19,5.815,4.882,4.463,4.494,4.139,,,3.739,3.186,,,,,1.444,1.325,0.5893,0.496,0.4,,,1.229,,,S-AGB
20,5.975,4.863,4.311,4.137,4.127,,,3.904,3.461,,,,,1.433,1.292,0.496,0.5332,0.4,,,1.754,,,S-AGB
21,3.91,2.777,2.203,0.651,0.884,,,1.779,1.207,,,,,9.662,7.724,3.012,3.313,2.073,0.7627,1.344,14.97,0.6098,,S-AGB
22,6.598,5.59,5.191,5.018,5.005,,,4.749,4.322,,,,,0.7058,0.5773,0.2272,0.2765,0.4,,,7.876,,,S-AGB
23,6.532,5.318,4.824,4.534,4.52,,,4.192,3.75,,,,,1.086,0.8918,0.2965,0.3539,0.4,,,1.762,,,S-AGB
24,2.555,1.312,0.814,-1.761,-1.241,,,0.233,0.038,,,,,50.200001,41.29,13.79,11.91,3.632,1.838,1.619,2.577,1.295,1.367,S-AGB
25,5.279,4.25,3.87,3.736,3.559,,,3.636,3.428,,,,,2.008,1.535,0.646,0.4656,0.4,,,1.459,,,S-AGB
26,0.483,-0.476,-0.662,-1.579,-2.456,,,-0.491,-0.824,,,,,112,85.35,26.67,21.43,4.569,2.07,1.836,3.788,1.32,1.068,S-AGB
27,3.467,2.446,1.956,-0.258,0.666,,,1.921,1.463,,,,,10.42,12.88,2.914,4.247,1.258,0.7373,0.6158,1.713,1.095,,S-AGB
28,3.651,2.496,2.006,0.013,0.324,,,1.532,1.123,,,,,13.56,10.83,3.714,3.348,1.48,1.348,0.9928,1.478,1.492,,S-AGB
29,5.041,3.767,3.169,2.024,2.872,,,2.547,2.103,,,,,,4.174,1.626,1.407,0.4,,,1.661,,,S-AGB
30,6.087,5.095,4.677,4.531,4.497,,,4.222,3.78,,,,,0.9855,0.7799,0.3247,0.3426,0.4,,,1.697,,,S-AGB
31,3.899,2.799,2.359,-0.121,0.243,,,0.734,0.038,,,,,,20,9.368,10.69,1.572,1.294,0.7122,6.984,0.2142,1.545,S-AGB
32,7.7,6.818,6.295,6.044,5.438,,,4.416,3.184,,,,,0.6677,0.5318,0.3286,0.3295,0.4,,,3.443,,,S-AGB
33,5.439,4.167,3.573,3.169,2.912,,,2.42,1.786,,,,,5.072,5.317,1.896,1.973,0.4184,,,10.24,,,S-AGB
34,2.122,1.128,0.971,-1.906,-1.089,,,0.041,-0.981,,,,,48.360001,43.49,,22.89,5.123,3.708,2.553,2.508,,0.7277,S-AGB
35,3.968,2.961,2.515,1.232,1.379,,,2.205,1.888,,,,,7.378,5.939,2.118,1.674,0.4,,,1.736,,,S-AGB
36,3.779,2.517,2.055,-0.619,0.255,,,1.246,0.787,,,,,14.61,12.95,,4.71,1.414,0.9066,0.8791,33.32,5.344,4.037,S-AGB
37,6.227,5.201,4.799,4.665,4.59,,,4.504,4.278,,,,,0.8691,0.7946,0.2365,0.2759,0.4,,,16.04,,,S-AGB
38,4.976,3.7,3.078,1.967,2.693,,,2.703,2.476,,,,,4.562,3.591,1.15,0.9342,0.4,,,10.74,,,S-AGB
39,5.234,4.409,3.824,2.01,1.48,,,1.654,1.191,,,,,8.85,10.88,3.171,3.654,0.5595,,,1.289,,,S-AGB
40,5.049,3.92,3.366,3.197,3.116,,,2.843,2.463,,,,,3.648,2.953,1.147,1.022,0.4,,,1.902,,,S-AGB
41,6.409,5.318,4.839,4.686,4.71,,,4.495,4.234,,,,,0.8413,0.7802,0.2018,0.4841,0.4,,,1.424,,,S-AGB
42,6.405,5.456,5.026,4.898,4.939,,,4.534,3.979,,,,,0.7657,0.6308,0.2646,0.1858,0.4,,,1.166,,,S-AGB
43,4.819,3.807,3.331,3.315,2.857,,,2.949,2.818,,,,,3.934,2.659,0.978,0.7544,0.4,,,7.328,,,S-AGB
