,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
1,,,,10.822,10.753,,,6.79,4.304,,,,,,,,,6.1283,14.6462,,24.7868,15.2489,YSO
2,,,,14.972,14.483,,,9.315,6.864,,,,,,,,,1.2385,2.2077,,5.7813,8.4915,YSO
3,,,,7.929,6.591,,,-0.279,-4.032,,,,,,,,,873.2722,609.2901,,793.2788,958.0618,YSO
4,,,,11.042,10.729,,,4.988,2.763,,,,,,,,,37.6816,43.501,,64.3031,51.9668,YSO
5,,,,14.246,14.319,,,10.873,8.607,,,,,,,,,0.1837,0.5663,,2.7299,3.451,YSO
6,,,,14.607,14.44,,,10.877,9.061,,,,,,,,,0.6555,1.5406,,5.3653,4.003,YSO
7,,,,14.157,13.333,,,7.614,5.848,,,,,,,,,1.9593,7.1893,,20.1912,24.0664,YSO
8,,,,15.237,15.757,,,10.468,7.884,,,,,,,,,1.246,1.5722,,10.0337,6.4738,YSO
9,,,,12.916,12.829,,,11.197,7.805,,,,,,,,,0.1493,1.0715,,6.2552,5.2779,YSO
10,,,,16.157,15.223,,,8.384,3.843,,,,,,,,,1.8545,2.6526,,7.7971,6.9356,YSO
11,,,,15.339,15.506,,,10.438,8.127,,,,,,,,,0.5445,1.4682,,4.7178,1.7645,YSO
12,,,,15.081,15.318,,,8.812,6.6,,,,,,,,,1.3885,4.6549,,13.6166,13.9306,YSO
13,,,,9.388,7.381,,,4.351,2.322,,,,,,,,,15.9297,21.8328,,24.6087,27.1176,YSO
14,,,,13.502,13.313,,,8.653,6.744,,,,,,,,,1.9213,4.1676,,7.0282,8.2825,YSO
15,,,,13.502,13.441,,,10.002,7.381,,,,,,,,,0.6262,1.8654,,5.6797,4.8838,YSO
16,,,,10.236,9.483,,,4.501,3.475,,,,,,,,,43.0445,55.4679,,68.3553,88.3419,YSO
17,,,,15.239,15.317,,,9.003,6.364,,,,,,,,,1.5398,3.3271,,9.0497,8.8958,YSO
18,,,,15.038,15.049,,,10.155,8.131,,,,,,,,,0.3929,1.4672,,7.0972,5.442,YSO
19,,,,12.332,11.453,,,8.623,5.788,,,,,,,,,1.2387,2.9092,,12.1284,10.6382,YSO
20,,,,14.203,14.022,,,9.284,6.738,,,,,,,,,0.4488,1.138,,3.3599,3.5131,YSO
21,,,,12.632,11.038,,,7.001,4.571,,,,,,,,,10.5614,22.1209,,29.9846,48.9255,YSO
22,,,,14.79,14.876,,,9.313,6.299,,,,,,,,,0.6628,1.65,,7.5145,5.6123,YSO
23,,,,15.001,15.312,,,11.135,8.151,,,,,,,,,0.0744,0.5077,,2.87,1.4734,YSO
24,,,,15.598,15.378,,,9.025,6.639,,,,,,,,,0.899,1.3932,,5.4406,4.1366,YSO
25,,,,13.075,12.602,,,7.379,5.61,,,,,,,,,7.016,7.4763,,29.1716,39.5982,YSO
26,,,,14.604,14.64,,,10.008,7.777,,,,,,,,,0.2221,1.334,,3.9733,6.427,YSO
27,,,,15.057,15.203,,,9.903,8.066,,,,,,,,,0.1827,1.2208,,4.4815,3.3431,YSO
28,,,,12.697,12.617,,,8.592,6.467,,,,,,,,,9.5199,7.663,,29.857,59.4899,YSO
29,,,,15.005,15.015,,,10.063,7.429,,,,,,,,,0.265,1.4461,,5.5984,4.3739,YSO
30,,,,14.765,14.761,,,9.523,6.474,,,,,,,,,1.5059,3.7622,,11.3143,6.5099,YSO
31,,,,15.116,15.285,,,9.55,6.92,,,,,,,,,0.2292,1.2397,,5.4058,0.2967,YSO
32,,,,14.654,14.277,,,8.629,5.909,,,,,,,,,0.8137,2.7681,,6.6848,5.0908,YSO
33,,,,14.005,14.094,,,10.618,7.621,,,,,,,,,0.2197,0.8186,,4.9719,2.7808,YSO
34,,,,14.623,14.571,,,9.751,7.46,,,,,,,,,0.8338,1.3237,,6.3854,6.1234,YSO
35,,,,15.165,15.032,,,8.689,6.579,,,,,,,,,0.5289,1.2936,,5.551,6.6374,YSO
36,,,,15.219,15.355,,,11.686,8.816,,,,,,,,,0.1184,1.2664,,5.6475,4.627,YSO
37,,,,14.456,14.645,,,10.989,7.825,,,,,,,,,0.7562,1.0171,,3.359,0.7633,YSO
38,,,,8.269,8.321,,,7.952,7.118,,,,,,,,,0.0768,1.1188,,4.1377,5.4421,YSO
39,,,,13.57,13.519,,,9.125,7.211,,,,,,,,,0.626,1.6292,,5.0393,2.7316,YSO
40,,,,15.451,15.235,,,8.916,6.501,,,,,,,,,1.3834,1.91,,7.6256,5.7109,YSO
41,,,,15.351,15.24,,,9.451,7.113,,,,,,,,,0.821,1.6517,,7.0551,3.8354,YSO
42,,,,16.056,15.724,,,9.66,7.373,,,,,,,,,0.6642,1.1667,,4.3566,1.8392,YSO
43,,,,10.668,9.442,,,6.462,3.773,,,,,,,,,1.8741,3.1204,,7.5451,5.1378,YSO
44,,,,15.47,15.635,,,11.111,8.015,,,,,,,,,0.1598,1.2569,,3.8036,4.3078,YSO
45,,,,10.797,10.41,,,8.41,5.947,,,,,,,,,4.7865,10.9023,,56.8263,62.1754,YSO
46,,,,14.797,15.105,,,12.667,8.946,,,,,,,,,0.042,0.5711,,4.1878,1.0327,YSO
47,,,,7.849,7.094,,,4.613,2.174,,,,,,,,,3.7516,5.6654,,6.5705,6.182,YSO
48,,,,13.142,12.198,,,8.018,4.933,,,,,,,,,1.8453,3.7562,,3.575,1.7591,YSO
49,,,,9.152,8.48,,,4.944,2.11,,,,,,,,,17.5013,9.8838,,23.6191,24.8751,YSO
50,,,,10.515,9.493,,,5.732,2.269,,,,,,,,,1.6981,4.9397,,14.3835,17.0212,YSO
51,,,,14.501,14.133,,,9.275,7.029,,,,,,,,,0.8484,1.9858,,6.6772,9.617,YSO
52,,,,13.251,13.334,,,10.543,7.557,,,,,,,,,0.2455,0.8278,,5.1802,2.6728,YSO
53,,,,12.632,12.195,,,6.952,3.401,,,,,,,,,9.8178,14.5814,,51.2575,44.7861,YSO
54,,,,16.074,15.847,,,9.548,6.957,,,,,,,,,1.3674,3.2813,,6.8446,4.9217,YSO
55,,,,9.324,8.347,,,5.523,3.118,,,,,,,,,1.7884,3.487,,5.7754,9.2451,YSO
56,,,,15.756,15.336,,,11.001,8.092,,,,,,,,,0.1974,0.8802,,3.0169,2.6898,YSO
57,,,,14.774,14.729,,,10.599,8.107,,,,,,,,,0.4789,0.7909,,5.6431,5.1175,YSO
58,,,,13.636,13.238,,,7.113,5.404,,,,,,,,,3.097,9.0468,,12.8841,21.4108,YSO
59,,,,15.148,15.185,,,10.703,8.183,,,,,,,,,1.3039,2.2209,,8.1768,9.1954,YSO
60,,,,9.995,8.181,,,5.835,3.246,,,,,,,,,1.9609,3.0284,,7.9298,7.7201,YSO
61,,,,11.887,12.193,,,9.415,6.998,,,,,,,,,13.3134,7.6907,,46.7613,59.8703,YSO
62,,,,14.527,14.48,,,11.538,8.68,,,,,,,,,0.1187,0.7032,,4.305,4.6582,YSO
63,,,,13.879,13.83,,,10.651,8.127,,,,,,,,,0.3262,2.247,,6.1056,5.4589,YSO
64,,,,13.696,13.105,,,7.792,6.079,,,,,,,,,7.323,12.78,,42.9627,53.1072,YSO
65,,,,14.364,13.958,,,9.48,7.698,,,,,,,,,4.2035,6.2152,,15.8603,10.237,YSO
66,,,,15.32,15.2,,,9.584,6.781,,,,,,,,,2.4932,4.5517,,9.5803,8.4214,YSO
67,,,,15.222,15.4,,,9.266,6.79,,,,,,,,,0.7872,1.4089,,3.3107,1.5547,YSO
68,,,,10.316,10.174,,,8.24,6.035,,,,,,,,,6.8425,8.6551,,56.2756,69.8964,YSO
69,,,,14.678,14.525,,,10.063,8.21,,,,,,,,,0.3735,0.9639,,4.1358,2.1968,YSO
70,,,,13.466,13.32,,,8.658,6.156,,,,,,,,,3.1454,7.5316,,22.5342,20.2891,YSO
71,,,,11.677,9.419,,,7.072,1.497,,,,,,,,,38.9604,57.5362,,47.8264,61.0046,YSO
