,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,,,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,,J (1.22u),H (1.63u),K (2.19u),3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,8.28u,12.13u,14.65,21.34,,,class
,9.19,8.053,7.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.686,8.387,8.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.013,8.743,8.243,,,,,,,,,,,,,,,,1.11,,0.594,0.4,,,31.1,,,,,,,,,Post- AGB
,11.767,11.711,11.561,,,,,,,,,,,,,,,,0.25,,6.31,5.16,,,1.95,,,,,,,,,Post- AGB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.89,9.561,9.414,,,,,,,,,,,,,,,,0.273,,0.118,0.0984,,,0.407,,,,,,,,,Post- AGB
,10.444,9.652,8.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.695,6.85,5.082,,,,,,,,,,,,,,,,51.6,,116,100,,,292,,,,,,,,,Post- AGB
,10.583,10.456,10.357,,,,,,,,,,,,,,,,0.504,,12.2,5.66,,,3.47,,,,,,,,,Post- AGB
,11.088,10.132,9.38,,,,,,,,,,,,,,,,42.8,,191,106,,,27.8,,,,,,,,,Post- AGB
,5.577,5.423,5.139,,,,,,,,,,,,,,,,77.2,,26.2,5.43,,,4.6,,,,,,,,,Post- AGB
,10.553,9.983,9.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,7.646,7.005,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.133,8.754,8.257,,,,,,,,,,,,,,,,4.17,,1.8,6.41,,,70.7,,,,,,,,,Post- AGB
,10.348,10.336,10.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,6.58,5.877,5.449,,,,,,,,,,,,,,,,5.41,,5.22,0.588,,,1.85,,,,,,,,,Post- AGB
,9.453,9.009,8.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,7.297,6.619,6.328,,,,,,,,,,,,,,,,0.147,,0.18,0.257,,,1.49,,,,,,,,,Post- AGB
,14.071,13.415,12.136,,,,,,,,,,,,,,,,3.04,,14.3,10,,,11.1,,,,,,,,,Post- AGB
,9.23,8.652,8.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.558,11.429,11.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,5.511,5.358,5.226,,,,,,,,,,,,,,,,0.417,,0.159,0.368,,,2.78,,,,,,,,,Post- AGB
,8.545,8.269,7.993,,,,,,,,,,,,,,,,0.972,,0.71,0.481,,,39.7,,,,,,,,,Post- AGB
,10.928,10.803,10.653,,,,,,,,,,,,,,,,0.316,,10.7,6.88,,,3.37,,,,,,,,,Post- AGB
,13.995,13.258,12.604,,,,,,,,,,,,,,,,2.16,,20.2,7.21,,,11.8,,,,,,,,,Post- AGB
,9.642,8.287,6.808,,,,,,,,,,,,,,,,7.05,,28.3,63.7,,,33.4,,,,,,,,,Post- AGB
,10.096,9.008,8.686,,,,,,,,,,,,,,,,5.99,,17.2,10.2,,,4.69,,,,,,,,,Post- AGB
,12.306,12.157,12.046,,,,,,,,,,,,,,,,0.25,,5.76,1.25,,,13.7,,,,,,,,,Post- AGB
,11.95,10.087,8.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.555,8.693,6.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,15.299,14.807,14.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
